DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
291,49,43,ikPacWn5bG9EJCXJa75o7SREysAuL339,cut,potato,cut potato,551129,554219,1,1,3.1,X ( G (C_Potato U Potato_FarFrom_CT) & G F (Potato_OnTopOf_CB & Potato_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Potato) & G (C_Potato U Potato_Pieces) ) ),
292,49,44,fyNFCbdDVVzYiXpJbxbBnD4mWj6yfmGl,cut,potato,grab potato,554754,557125,1,1,2.4,G (C_Potato U Potato),
293,49,45,GRy2NxmkwBdZVqbEen1XI5fKyY4xqlYC,cut,potato,put potato on board,557619,559394,1,1,1.8,X (G (C_Potato U Potato_FarFrom_CT) & G F (Potato_OnTopOf_CB & Potato_CloseTo_CB)),
294,49,46,HbjFbJWEfGXaFqELamm7BPcDZsh0yNbZ,cut,potato,"grab knife, lift knife, chop potato",560082,568920,1,1,8.8,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Potato) & G (C_Potato U Potato_Pieces) ),
295,49,47,cmyx1H08UWqRVnr8wV42m0S9lCaBHXNP,cut,carrot,cut carrot,574368,577384,1,1,3.0,X ( G (C_Carrot U Carrot_FarFrom_CT) & G F (Carrot_OnTopOf_CB & Carrot_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Carrot) & G (C_Carrot U Carrot_Pieces) ) ),
296,49,48,Us0Z7LSYWGckobQvK8DGH0ndCeDWPCXW,cut,carrot,grab carrot,578932,585286,1,1,6.4,G (C_Carrot U Carrot),
297,49,49,NMOrsTlTUPnfRM8wkfXH4xxG7CS847P9,cut,carrot,grab carrot,588994,592356,1,1,3.4,G (C_Carrot U Carrot),
298,49,50,YLiu65cKlqy0827fp5sqVW6EM3aWJwPp,cut,carrot,place carrot on board,592108,594916,1,1,2.8,G F (Carrot_OnTopOf_CB & Carrot),
299,49,51,tTkfKvCIlNPdQBrEdQinHu2J8L1Dygw9,cut,carrot,hold carrot,602818,605339,1,1,2.5,X (G (C_Carrot U Carrot) & G (C_Carrot U Carrot_FarFrom_CT)),
300,49,52,WHKNNc3LfBadBxyHDb12jShAMblJG7WI,cut,carrot,reference carrot,606829,610871,1,1,4.0,,
301,49,53,IYDcDmkTZlZPc4Vqonjk2JclkaiYKtBz,cut,celery,cut celery,617167,619947,1,1,2.8,X ( G (C_Celery U Celery_FarFrom_CT) & G F (Celery_OnTopOf_CB & Celery_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Celery) & G (C_Celery U Celery_Pieces) ) ),
302,49,54,U7x0O6MJVNiDaE1ZFz8Rq2w2fzcu3fwJ,cut,celery,"grab celery, place celery on board, grab knife, cut celery",621353,632140,1,1,10.8,X ( G (C_Celery U Celery_FarFrom_CT) & G F (Celery_OnTopOf_CB & Celery_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Celery) & G (C_Celery U Celery_Pieces) ) ),
303,49,55,6ThQmgOg0CbsiM0HLLwI4uVmQ0NxvYjg,off,lid,take lid off pot,636753,640526,1,1,3.8,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT) ) ))),
304,49,56,Aivs7dGNUOv1vKS2vxcv7qsfeVGOAzh6,off,lid,"go to oven, grab lid",640873,645952,1,1,5.1,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) ),
305,49,57,RVya7NRja0zYCaD0qSPjjEV0gMSC9sIq,off,lid,lift lid off pot,646362,650547,1,1,4.2,G (C_Lid U Lid_FarFrom_StovePot) ,
306,49,58,GOy8vFatKO2xdwidRYmjxmCi34uzaLjE,off,lid,put lid down,651635,653855,1,1,2.2,G F (Lid_OnTopOf_CT),
307,49,59,POTztYcufPx1mIhbcPj6o4MwuPxZzCpM,add,veges,add veggies to water,663445,669987,1,1,6.5,X ( F (C_CB U CB) & G (C_CB U CB) & G (C_CB U CB_FarFrom_CT) & F (C_StovePot U StovePot) & F G ((C_CB & C_Pot) U Veggies_insideof_Pot) & F (C_CB U CB) & G F (C_CB U CB_OnTopOf_CT)),
308,49,60,cbD9lm9nkpgXnARzB8YIrXoPl284B6aA,add,veges,"grab board, go to oven",672230,678056,1,1,5.8,X (F (C_CB U CB) & G (C_CB U CB) & G (C_CB U CB_FarFrom_CT) & F (C_StovePot U StovePot)),
309,49,61,4d29780ffce641e994f11900ab89d11f,add,veges,add ingredients to water,678960,683800,1,1,4.8,F G ((C_CB & C_Pot) U Veggies_insideof_Pot) & F (C_CB U CB) & G F (C_CB U CB_OnTopOf_CT),
310,49,62,Lod6WedDaf0iZg8BnSVjboN6sIaOGkMB,off,pot,turn off pot burner,694819,699287,1,1,4.5,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_Off))),
311,49,63,7mAlPPpEaEYn88QInbIcuIq5xYPSHB00,off,pot,"go to left, turn off burner",700223,710024,1,1,9.8,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_Off))),
312,49,64,8gfJkLR3BKLmq0VkhW8Om0sfYTKfAjUS,add,veges,add onions tomatoes to water,718704,726132,1,1,7.4,X (F (C_StovePan U StovePan) & ( G (C_StovePan U StovePan) & G (C_StovePan U StovePan_FarFrom_Stove) ) & F G (Onion_insideof_Pot & Onion_insideof_Pot)),
313,49,65,pOPBfOIFAcXtgni79WOdjBoJtn0adDqy,add,veges,"take pot, lift pot, put ingredients in water",726759,739157,1,1,12.4,X (F (C_StovePan U StovePan) & ( G (C_StovePan U StovePan) & G (C_StovePan U StovePan_FarFrom_Stove) ) & F G (Veggies_insideof_Pot)),
314,49,66,hHSmwt7Cj6ISVuwaOCkL11yjE99qfkqR,add,spice,add spice to water,744739,749135,1,1,4.4,X (( G (C_Spices U Spices) & G (C_Spices U Spices_FarFrom_CT) ) & F (C_StovePot U StovePot) & F G ((C_Spices & C_Pot) U Spices_insideof_Pot) & G F (C_Spice U Spice_OnTopOf_CT)),
315,49,67,ingU89NbEgTDqcAcQquXtifaOyafbIMR,add,spice,"take spices, lift spices, add spices to water",750792,761739,1,1,10.9,X (( G (C_Spices U Spices) & G (C_Spices U Spices_FarFrom_CT) ) & F (C_StovePot U StovePot) & F G ((C_Spices & C_Pot) U Spices_insideof_Pot) & G F (C_Spice U Spice_OnTopOf_CT)),
316,49,68,xlPjKojk5nbnZUxUfCasGrtPHeO7wzlQ,mix,veges,stir water,775985,778976,1,1,3.0,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Soup) U Soup_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
317,49,69,ipywiKb9zuUm9l7NpgatSmzttR1aIeEo,mix,veges,stir pot,779045,782176,1,1,3.1,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Soup) U Soup_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
318,49,70,cwWPqDiwkK5JCjNFx2LZI2eE5EKj8zeE,mix,veges,"go to oven, grab spoon, lift spoon, stir ingredients",783806,799248,1,1,15.4,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Soup) U Soup_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
319,49,71,WFDsB0l3RDJtW8spKACRqVJInExmdOns,on,lid,put lid on pot,804599,809040,1,1,4.4,X (G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),
320,49,72,o3u8eBorjUXAve7cEHw0Hfs1o6PDobhS,on,lid,"grab lid, lift lid, place lid on pot",809686,816257,1,1,6.6,X (G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),
321,49,73,NfDIuZRimf6d8zMjKC2DCymevJegzvFP,off,gas,turn off pot burner,833162,836839,1,1,3.7,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_Off))),
322,49,74,5T6CsnFCp4K5jolqtJAr4OIJqp3TzQp1,off,gas,turning off burner,837804,841503,1,1,3.7,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_Off))),
323,49,75,swDAVLkuVHUO8oS2wMHFGH3MzqYKNPaE,off,lid,take lid off pot,848168,852175,1,1,4.0,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT) ) ))),
324,49,76,3JADdO1pAIrjy7oYoiiyRYmyXNe4eZIG,off,lid,"grab lid, lift lid, place lid down",852851,862397,1,1,9.5,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT) ) ))),
325,49,77,adttOoyoRwq0DA9n79F37IZmnw1Hn85p,add,soup,put soup in bowl,869054,873162,1,1,4.1,X (F (C_Bowl U Bowl) & G (C_Bowl U Bowl) & G (C_Bowl U Bowl_FarFrom_CT) & F (C_StovePot U StovePot) & G (C_Ladle U Ladle) & G (C_Ladle U Ladle_InsideOf_Holder & G (C_StovePot U StovePot) & G (C_StovePot U StovePot_FarFrom_Stove)  ) & G (C_Soup U Soup_InsideOf_Bowl) & G (C_Ladle U Ladle_InsideOf_Holder) &  F (C_CB U CB) & G (C_Bowl U Bowl_OnTopOf_CB)),
326,49,78,5ce3ee467d6748a78a8d825e8b0b1e96,add,soup,grab bowl,875760,877520,1,1,1.8,X (F (C_Bowl U Bowl) & G (C_Bowl U Bowl) ),
327,49,79,5e294ba1f93b4708b8e73434b4f82135,add,soup,lift bowl,878480,880280,1,1,1.8,G (C_Bowl U Bowl_FarFrom_CT),
328,49,80,a570d5054fdf42d59061b31af06653f5,add,soup,bring to the soup,879480,883080,1,1,3.6,G (C_Bowl U Bowl_CloseTo_StovePot),
329,49,81,2c2ba844bd0d48da8699148ef50fc1fb,add,soup,grab ladel,883160,886520,1,1,3.4,G (C_Ladle U Ladle),
330,49,82,b1a310a68a6c48be9b87e1e8dd76a917,add,soup,reference spoon,887400,888400,1,1,1.0,X (F (C_Holder U Holder) & G (C_Spoon U Spoon) ),
331,49,83,7de00a25667246f792613102f9387570,add,soup,lift,889440,890840,1,1,1.4,G (C_Spoon U Spoon_FarFrom_Holder),
332,49,84,cf3ddf6c08df4eb8ac9a3873c42cbec8,add,soup,pour into bowl,891200,896080,1,1,4.9,X (F (C_StovePot U StovePot) & G (C_Ladle U Ladle) & G (C_Ladle U Ladle_InsideOf_Holder & G (C_StovePot U StovePot) & G (C_StovePot U StovePot_FarFrom_Stove)  ) & G (C_Soup U Soup_InsideOf_Bowl) & G (C_Ladle U Ladle_InsideOf_Holder)),
333,49,85,tdngQp8uHIiceXYCtZJfHNDoyHfnN3o4,add,soup,pouring soup,898460,900922,0,1,2.5,X (F (C_StovePot U StovePot) & G (C_Ladle U Ladle) & G (C_Ladle U Ladle_InsideOf_Holder & G (C_StovePot U StovePot) & G (C_StovePot U StovePot_FarFrom_Stove)  ) & G (C_Soup U Soup_InsideOf_Bowl) & G (C_Ladle U Ladle_InsideOf_Holder)),
334,49,86,8e56DVHBtFPfGIh0cbzHqqOrpt5gvhb7,clean up,,put dished in sink,917234,922874,1,1,5.6,X (F (C_Bowl U Bowl) & G (C_Bowl U Bowl) & G (C_Bowl U Bowl_FarFrom_CT) & G (C_Sink U Sink) & G (C_Bowl U Bowl_InsideOf_Sink)),
335,49,87,nssCu3EItDicSeAKDZ3Vm71XMrZWB1hC,Turn,gas,go to oven,923446,926601,1,1,3.2,( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ),
336,49,88,jpQDeWrUTyqYNRB9EX7IPH30fMMXuxrP,clean up,,"grab pot, lift pot, put pot in sink",927037,933779,1,1,6.7,X (G (C_StovePot U StovePot) & G (C_StovePot U StovePot_FarFrom_Stove) & G (C_Sink U Sink) & G (C_StovePot U StovePot_InsideOf_Sink)),
337,49,89,dWbSQXFj0eRs6ejMVowJCtv1uXsMOEz6,clean up,,grab towel,946883,950272,1,1,3.4,X (G (C_Towel U Towel) & G (C_Towel U Towel_FarFrom_Sink) &  F (C_Stove U Stove) & G ( C_Towel U Towel_OnTopof_Stove & Stove_Cleaned)),
145,51,14,9sk3Hcnj6OoRRW6snxLCLqswD1ADTNWF,on,gas,boil water,170702,179576,1,1,8.9,,
146,51,15,u6r1svWGNXis9iyYiD2Std3i8aDCtu5V,Turn,gas,go to stove,181359,185958,1,1,4.6,,
147,51,16,DnVkrJwqAugyvAgoSp3YVVEMyGFZFR0O,on,gas,turn on fire,186754,191131,1,1,4.4,,
148,51,17,LsnI2dRZRM6PcnHeziSze5fySiJhbbQ7,on,lid,cover pot,200618,205274,1,1,4.7,,
149,51,18,2TaIgTulePiw0eqrjaakrxk531zpU3sb,on,lid,grab lid,205276,207736,1,1,2.5,,
150,51,19,0T98GQlrKtNqbqGp1s4oNpuR3cuXZWu9,on,lid,grab lid,210745,214850,1,1,4.1,,
151,51,20,iRnGOxZTVtyqY8JBGTw06UQYGgbWkNF9,on,lid,put lid on,215273,218176,1,1,2.9,,
152,51,21,Un1C6jsBxjEXrS1nrBIXaYGbjAUGPRQZ,fetch,onion,bring onion to board,226021,230724,1,1,4.7,,
153,51,22,wX3CPIfExt68vhl1CKe6mFz454FMUtie,fetch,onion,grab onion,231137,234038,1,0,2.9,,
154,51,23,VnyA5ryLFPwjjOVn8LVeG9qwJwmpTOUd,fetch,onion,reference onion,237741,243927,1,1,6.2,,
155,51,24,xWbyQ7WMbDiRKYGjAg5YS3pH3ieDdP6o,fetch,carrot,bring carrot to board,253774,257793,1,1,4,,
156,51,25,eeO8bYEYpYzF4HgH6Nqml8ktn3Z2i3mk,fetch,carrot,grab carrot,260399,264723,1,1,4.3,,
157,51,26,uX3B3rMzxj74DWWM09u1hSD4QGdSSnwN,cut,onion,chop onion,273497,278588,1,1,5.1,,
158,51,27,OZ8dSaS8Z9yxSDDisDbtvRHpbhnQ0oWf,cut,onion,reference chopping onion,283272,286757,0,1,3.5,,
159,51,28,LvaFebcY0YcdQvdvMLZjBdFGjlsuid0N,cut,tomato,chop tomato,292165,295118,1,1,3,,
160,51,29,100c040986b14dcca8272d449552d129,cut,tomato,reference tomato,295600,301280,1,1,5.7,,
161,51,30,TVxBz8bjg5TgshSc6nu3HSvY21c7UDNs,cut,tomato,reference chopping tomato,312931,317272,0,1,4.3,,
162,51,31,7STC0NUZyskeMPIa0xD2DtLdarSOFWV9,on,gas,"go to stove, turn on heat",324232,331049,1,1,6.8,,
163,51,32,iRS4tB6dh9LN1nYG3f25KjhqypCccOEB,on,gas,turn on fire,333593,336748,1,1,3.2,,
164,51,33,ROsFsQGHTnGrwXnuVGJ4xe33GYXqyHZR,add,oil,put oil in pan,346292,349487,1,1,3.2,,
165,51,34,Tqxb5P9eb8HDspWxAL36X1wz8mHiS8LR,add,oil,grab oil,353517,358479,1,1,5,,
166,51,35,cR9ngeoN8dcb5szc22JhCIugNP3fcaDw,add,oil,reference oil,359858,361913,0,1,2.1,,
167,51,36,0JQw9ERiwrNyESXUA2M90AI7fbOnUqqz,add,veges,bring onions tomatoes to pan,370551,376551,1,1,6,,
168,51,37,Via21Bx0dv0OZcFWjYbSRST128LDsfkV,Turn,gas,go to stove,381940,385454,1,1,3.5,,
169,51,38,cwT8FnQXsPHxQgxQhqHluSk9qn1A0lhW,add,veges,put onions tomatoes in pan,386397,390103,1,1,3.7,,
170,51,39,xgVimipYiJzjL4T3op1uBM0mA98RjZst,add,salt,salt the pan,401860,408795,1,1,6.9,,
171,51,40,UWryYnzhd7FaI7VkGUFkQuVjhM5Wasof,add,salt,grab salt,410937,413811,1,0,2.9,,
172,51,41,NrSyamMDfoR6NSFCGeQVTXkOiRad4WN5,add,salt,reference shaking salt,421200,424093,0,1,2.9,,
173,51,42,9YA8U1HNpclCQUuyaYOh3nAtg6m9aGNA,add,pepper,put pepper in pan,428479,432855,1,1,4.4,,
174,51,43,EgJsEyI9h47McUSK5k3sGtEui9N24mVw,add,pepper,grab pepper,436655,438487,1,1,1.8,,
175,51,44,5ifunIPX4fUnm2HWUOhYlXwLCXx6YzkT,add,pepper,reference grabbing pepper,445015,447220,0,1,2.2,,
176,51,45,2SOZgwjncKzfmRoGfCFNtXGJeSLECPaG,mix,veges,stir ingredients,456380,460108,1,1,3.7,,
177,51,46,0e547f2ace114ff9960f8285a4df4d3b,mix,veges,reference pan,461760,463640,1,1,1.9,,
178,51,47,43f17959b1b340578b6be15f18cf8081,mix,veges,grab spoon,463680,466760,1,1,3.1,,
179,51,48,ac88393c379a4f92bacf6e7c0e590096,mix,veges,bring to pan,467440,470040,1,1,2.6,,
180,51,49,HiFybsJJ2GwVrK6oJHAm0ENF8vq643W0,mix,veges,reference stirring,476226,480237,0,1,4,,
181,51,50,FWFD4bI8pfmCbC9xfhG4vyLTKPdLoHhm,cut,potato,chop potato,490701,494469,1,1,3.8,,
182,51,51,ofAfOKz1v3DrC5qz6W20wohrnVqYEDeQ,cut,potato,reference potato,496803,501862,1,1,5.1,,
183,51,52,8a5777ddece54638bcd9626e50ad6df0,cut,potato,reference potato,502160,505240,1,1,3.1,,
184,51,53,QXZJkg43ppJMqkPMPCMGHEmgGr1475p4,cut,potato,find potato,506770,510501,1,1,3.7,,
185,51,54,Er4Xjc6pbU2FUmrZwMe2FqNUyctiujr8,cut,potato,cut potato,511096,513996,1,1,2.9,,
186,51,55,iqk3ff3zoNyvBLSBBSagpiiGH9LgNPht,cut,carrot,cut carrot,533108,537190,1,1,4.1,,
187,51,56,1gve584QNITP0t0B32dby8uNUde7bXmm,cut,celery,cut celery,552352,555467,1,1,3.1,,
188,51,57,ex4xWAcjf9X3xxUqZ8i1nQNAI3faiVGR,off,lid,"go to stove, take off pot lid",577049,582525,1,1,5.5,,
189,51,58,dnLdxsrHCBBVBCj7da43KEJWGP7zbGO1,off,lid,"grab lid, take lid off pot",585036,589197,1,1,4.2,,
190,51,59,SomCG995pqacjg0OPG9mJsuVeDEeBbUF,off,lid,take lid off pot,594711,598977,1,1,4.3,,
191,51,60,Ad1vWwzSVr0wpqXvyqTvQ8ikWRYSQ7sf,add,veges,bring veggies to pot,614775,620706,1,1,5.9,,
192,51,61,5yfzWV8VImHlY82A0TzNKNkH2NE0oJmk,add,veges,put veggies in pot,631058,634276,1,1,3.2,,
193,51,62,Nvd05kd9Ej1wfzIgfGCiFE7ml7xwJa12,add,veges,simmer pan,650762,656749,1,1,6,,
194,51,63,pneExRIFXSN5VI78ltWguKQKSsxV654y,add,veges,continue heating until steaming,663208,672362,1,1,9.2,,
195,51,64,f01558f1287940c7961105447a5d2b5c,mix,veges,pan toss,672400,674160,0,1,1.8,,
196,51,65,afc0acbace214854a518082e06404bf3,off,gas,turn off fire,674480,678360,1,1,3.9,,
197,51,66,TZTELrocne3HNMUBYBdM2EMVbyV4yvcY,add,veges,put pan into pot,693882,700695,1,1,6.8,,
198,51,67,HodZycxOVBV3HUGBdVypqfW16OqEH2OF,add,veges,take pan,703507,707308,1,1,3.8,,
199,51,68,0uo0TtTqzI7cnfs9NQJjnN4ji85JyRWm,add,veges,put pan into pot,708165,711340,1,1,3.2,,
200,51,69,S7hM50SESspEopBAUHgs8pJNwmFvgHjo,add,spice,add spices to pot,719903,724509,1,1,4.6,,
201,51,70,Q22n2KIT2LWY1xz2xVTlSzwTaYFxHX3y,add,spice,grab spices,726197,730128,1,1,3.9,,
202,51,71,lDynUsNb17yAwDP2H5Ipmk9Klq9SrTyN,add,spice,reference shaking spices,731509,734071,0,1,2.6,,
203,51,72,tXFtmzz3ihL6dkhc8BHAUkIlA8dgaF3I,mix,veges,mix pot,749542,753508,1,1,4,,
204,51,73,pQyiGTiscONjNhQgfv4wvsbyD1isf1mp,mix,veges,mix pot with spoon,754957,760317,1,1,5.4,,
205,51,74,FRabqIrYPcAVRgOpqunRxLYgvqA4slR0,mix,veges,reference mixing pot,766894,769137,0,1,2.2,,
206,51,75,IsphQKgbMZ0bczHxmpjxE22hHi9uU4qQ,on,lid,put lid on pot,781688,784923,1,1,3.2,,
207,51,76,7QYVVioh6LJ5bwogJz34qLGYb4j4BNNC,on,lid,reference putting lid on pot,786991,790718,1,1,3.7,,
208,51,77,WeWSw6nztxRMe26lAeVsXlVePa7v2gZ7,off,gas,turn fire off,799901,802372,1,0,2.5,,
209,51,78,zpIC3Ezu1jPZduIDkN5ZRvRiykgOi52b,off,lid,take lid off pot,815903,818776,1,1,2.9,,
210,51,79,8EaD24qRNImrwsyUJkMoIXZY48Q9EhOz,fetch,soup,serve soup,836498,839563,1,1,3.1,,
211,51,80,5Mb5NTce7ThViZ0pCjGUtaWTPfkh5tis,fetch,soup,grab bowl,841142,843983,1,1,2.8,,
212,51,81,E9ydTBhMDGKBxQMhSqNWMpPtjVStoJ9f,fetch,soup,grab spoon,845701,847692,1,1,2,,
213,51,82,0renWC8XM8ycxydFz7IDrZzxyXZPu0qk,fetch,soup,grab ladle,850521,853457,1,1,2.9,,
214,51,83,uotV9KgiY3suCJt5bnksaYBF1KIyX4Uh,fetch,soup,serve soup into bowl,856594,859656,1,1,3.1,,
215,51,84,RqWowvztwL0aiBuCwUeDxOl9cDMtcA7M,clean up,,clean up,882412,885114,1,1,2.7,,
216,51,85,1UjCf9wpnfJGX9XKwOFA22vGQqr2Iyaq,clean up,,take pot pan spoon to sink,885162,893642,1,1,8.5,,
217,51,86,8r4WTJST7AklP1tJbg8ulPqwU5KwmnUQ,clean up,,"grad spoon, put spoon ladle in sink",917581,926932,1,1,9.4,,
338,52,0,g0FymCHgNX0QllALWn5jSJG85AgS7x7I,on,gas,turn on stove,166273,170130,1,1,3.9,,
339,52,1,6BEoLIWUUeNZthyJuEusxJrzJRpb1eeD,Turn,gas,turn around,231035,234667,1,1,3.6,,
340,52,2,WnjTesn6Nyr7DHFEjb4p1hgeTPkSR0pk,on,gas,turn on stove,235711,241315,1,1,5.6,,
341,52,3,iKc1D9TCdlaZzOsnjhj16e3IvBqpDu8Y,on,gas,turn to stove,252232,255432,1,1,3.2,,
342,52,4,q0sQPHWtPy2IuWv6ag0FFvKYjnnIU2XN,on,gas,turn to stove,256709,260783,1,1,4.1,,
343,52,5,SJz1Dy54Sq79p2rwIlWIlI3XoayhsWrp,on,lid,pick and put lid on pot,265572,269678,1,1,4.1,,
344,52,6,w8ieMWIfd8rCUHqbzd2kRdJ7aj8EKYcy,fetch,onion,chop onion,280363,284861,1,1,4.5,,
345,52,7,0PnLwYg1Ujk6EXGNLsB2jPQflJe0ZjX2,fetch,onion,turn behind,284884,287997,1,1,3.1,,
346,52,8,LhFXWeglT44zk8woX0Q8ZjHGHvHEDOMN,fetch,onion,pick up onion,291983,294333,1,1,2.4,,
347,52,9,7bRbsIcxaiTff1l3P1pTXuJHisOMmA0o,fetch,onion,pick up knife,303626,305784,1,1,2.2,,
348,52,10,kPoFkAma2lGVLyZXmPWrgNuLueZ81JNV,fetch,onion,picking up knife,306192,308163,0,1,2,,
349,52,11,iYsrYMuaVXcbst6rxgfzm9YjR00zf6df,Turn,carrot,turn around,310004,312402,1,1,2.4,,
350,52,12,82bmASyzrY7RM7AQKnbOtCPSOmrQm1hD,fetch,carrot,pick up carrot,315592,318403,1,1,2.8,,
351,52,13,rZytbsJl9m9CUCMC95YrrADFWFENJa1X,cut,onion,"chop onion, pick up knife",332154,336361,1,1,4.2,,
352,52,14,xHBDa9BEXC2nRsTc97tbgCasOtAmOwFH,cut,tomato,chop tomato,348358,351116,1,1,2.8,,
353,52,15,KcSNI7gC78sJXtBoTEOaEfxxknAaUlGb,cut,tomato,chop tomato,353809,358339,1,1,4.5,,
354,52,16,6j0ORsZgjPTWJMXhlHfubLaFs1EqBrj8,cut,tomato,pick up tomato,362463,365096,1,1,2.6,,
355,52,17,iTLBsORN4naElmSscy7XR5hSEQESgk9U,on,gas,"turn on stove, turn left",385665,392672,1,1,7,,
356,52,18,Rzi7OxvjWXk1FLPYRRGM4NNtxEuamCUG,on,gas,turn on stove,393826,397312,1,1,3.5,,
357,52,19,fGt2tNxlAROhXIMSXawwSFaVzbtohh3F,add,oil,pour oil in pan,407431,411771,1,1,4.3,,
358,52,20,baRF13uIjqBCNdGHZzfBXOAzKnK6tyPA,add,oil,pick up oil,415686,417963,1,1,2.3,,
359,52,21,9C7s4XyOa1qn8HfzUOQnT8RmslZq1Dvi,add,veges,"put onion in pan, pick up onion",430542,435523,1,1,5,,
360,52,22,02rip6LTkgKoUJKpdqvbC9vZ3xoVwrvV,add,veges,bring onion to pan,443132,445562,1,1,2.4,,
361,52,23,PlgVuavST1Nj5Y8WcrUVVkUSCe8HtpVw,add,veges,put veggies in pan,448610,451177,1,1,2.6,,
362,52,24,0oVEvpiI1cIBsjFl3CRdUuQwz75CRM8w,add,spice,"put spices in pan, turn to pan",462083,468127,1,1,6,,
363,52,25,yVgEhtU7p7Qnx7PMwmqFDji9sCSwlxVE,add,spice,"pick up spices, shake spices in pan",471245,474544,1,1,3.3,,
364,52,26,6aDB3rB7tX5Aozfl5XpmbFlRr0VSSA6z,add,pepper,grind pepper,488177,492974,1,1,4.8,,
365,52,27,pQgq4gzi7WjM7yI2vqbiYRq4sDiqxLx7,add,pepper,pick up pepper,493538,496265,1,1,2.7,,
366,52,28,7TvAE9SA4AZTEfn8CxKyQgwnokY2DMyX,mix,veges,mix the veggies,514688,517756,1,1,3.1,,
367,52,29,44AlTLj7ZNOigYDjRtoralMdWtgeKKOD,mix,veges,pick up spoon,521416,524152,1,1,2.7,,
368,52,30,ICP6kIhdtdKg0Pzh4izLxIOn2TxLmB4c,cut,potato,"cut the potato, pick up potato",546782,550675,1,1,3.9,,
369,52,31,ZRE25SWElS1EYd91Hw4Q6UTYQqJacJAm,cut,potato,reference potato,552634,556190,1,1,3.6,,
370,52,32,EGKHCCj2lMb3XahXImQ6DT5wWT71noAC,cut,carrot,"chop carrot, pick up carrot",575821,579920,1,1,4.1,,
371,52,33,lx3S8Gb9dlaXRAscXQ2cC3UVL8sLsMvS,cut,carrot,pick up carrot,585145,587165,1,1,2,,
372,52,34,HbrvGVcJPBPQlBssXxsekhXvyuzif6yB,cut,carrot,picking up carrot,587980,590100,0,1,2.1,,
373,52,35,zRzClQL1wEDNfUhjZSkpD2odTTpgMcqA,cut,carrot,put carrot on board,590973,594610,1,1,3.6,,
374,52,36,URQt6fOhWBDiXOjcXdwaP27mfBgFGzhB,cut,carrot,grab carrot,598442,601863,1,1,3.4,,
